"country","scenario","sex","age","disease","risk","variable","tmrel","increment","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"Male","25-29","Stroke","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Male","25-29","Stroke","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Female","25-29","Stroke","Diet high in red meat","Relative Risk",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Female","25-29","Stroke","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Female","25-29","Stroke","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.06","1.06","1.06","1.06","1.06"
0,0,"Male","25-29","Stomach cancer","Diet high in red meat","Relative Risk",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Stomach cancer","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Stomach cancer","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Stomach cancer","Diet high in red meat","Relative Risk",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Stomach cancer","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Stomach cancer","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Tracheal, bronchus, and lung cancer","Diet high in red meat","Relative Risk",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Tracheal, bronchus, and lung cancer","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Tracheal, bronchus, and lung cancer","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Tracheal, bronchus, and lung cancer","Diet high in red meat","Relative Risk",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Tracheal, bronchus, and lung cancer","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Tracheal, bronchus, and lung cancer","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Uterine cancer","Diet high in red meat","Relative Risk",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Uterine cancer","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Uterine cancer","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Uterine cancer","Diet high in red meat","Relative Risk",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Uterine cancer","Diet high in red meat","Relative Risk 2.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Female","25-29","Uterine cancer","Diet high in red meat","Relative Risk 97.5",23,65,"g/day","1.08","1.08","1.08","1.08","1.08"
0,0,"Male","25-29","Esophageal cancer","Diet low in fruits","Relative Risk",250,100,"g/day","1.153","1.153","1.153","1.153","1.153"
0,0,"Male","25-29","Esophageal cancer","Diet low in fruits","Relative Risk 2.5",250,100,"g/day","1.033","1.033","1.033","1.033","1.033"
0,0,"Male","25-29","Esophageal cancer","Diet low in fruits","Relative Risk 97.5",250,100,"g/day","1.288","1.288","1.288","1.288","1.288"
0,0,"Female","25-29","Esophageal cancer","Diet low in fruits","Relative Risk",250,100,"g/day","1.153","1.153","1.153","1.153","1.153"
0,0,"Female","25-29","Esophageal cancer","Diet low in fruits","Relative Risk 2.5",250,100,"g/day","1.033","1.033","1.033","1.033","1.033"
0,0,"Female","25-29","Esophageal cancer","Diet low in fruits","Relative Risk 97.5",250,100,"g/day","1.288","1.288","1.288","1.288","1.288"
0,0,"Male","25-29","Tracheal, bronchus, and lung cancer","Diet low in fruits","Relative Risk",250,100,"g/day","1.076","1.076","1.076","1.076","1.076"
0,0,"Male","25-29","Tracheal, bronchus, and lung cancer","Diet low in fruits","Relative Risk 2.5",250,100,"g/day","1.031","1.031","1.031","1.031","1.031"
0,0,"Male","25-29","Tracheal, bronchus, and lung cancer","Diet low in fruits","Relative Risk 97.5",250,100,"g/day","1.123","1.123","1.123","1.123","1.123"
0,0,"Female","25-29","Tracheal, bronchus, and lung cancer","Diet low in fruits","Relative Risk",250,100,"g/day","1.076","1.076","1.076","1.076","1.076"
0,0,"Female","25-29","Tracheal, bronchus, and lung cancer","Diet low in fruits","Relative Risk 2.5",250,100,"g/day","1.031","1.031","1.031","1.031","1.031"
0,0,"Female","25-29","Tracheal, bronchus, and lung cancer","Diet low in fruits","Relative Risk 97.5",250,100,"g/day","1.123","1.123","1.123","1.123","1.123"
0,0,"Male","25-29","Ischemic heart disease","Diet low in fruits","Relative Risk",250,100,"g/day","1.254","1.254","1.254","1.254","1.254"
0,0,"Male","25-29","Ischemic heart disease","Diet low in fruits","Relative Risk 2.5",250,100,"g/day","1.083","1.083","1.083","1.083","1.083"
0,0,"Male","25-29","Ischemic heart disease","Diet low in fruits","Relative Risk 97.5",250,100,"g/day","1.442","1.442","1.442","1.442","1.442"
0,0,"Female","25-29","Ischemic heart disease","Diet low in fruits","Relative Risk",250,100,"g/day","1.254","1.254","1.254","1.254","1.254"
0,0,"Female","25-29","Ischemic heart disease","Diet low in fruits","Relative Risk 2.5",250,100,"g/day","1.083","1.083","1.083","1.083","1.083"
0,0,"Female","25-29","Ischemic heart disease","Diet low in fruits","Relative Risk 97.5",250,100,"g/day","1.442","1.442","1.442","1.442","1.442"
0,0,"Male","25-29","Ischemic stroke","Diet low in fruits","Relative Risk",250,100,"g/day","2.024","2.024","2.024","2.024","2.024"
0,0,"Male","25-29","Ischemic stroke","Diet low in fruits","Relative Risk 2.5",250,100,"g/day","1.465","1.465","1.465","1.465","1.465"
0,0,"Male","25-29","Ischemic stroke","Diet low in fruits","Relative Risk 97.5",250,100,"g/day","2.818","2.818","2.818","2.818","2.818"
0,0,"Female","25-29","Ischemic stroke","Diet low in fruits","Relative Risk",250,100,"g/day","2.024","2.024","2.024","2.024","2.024"
0,0,"Female","25-29","Ischemic stroke","Diet low in fruits","Relative Risk 2.5",250,100,"g/day","1.465","1.465","1.465","1.465","1.465"
0,0,"Female","25-29","Ischemic stroke","Diet low in fruits","Relative Risk 97.5",250,100,"g/day","2.818","2.818","2.818","2.818","2.818"
0,0,"Male","25-29","Intracerebral hemorrhage","Diet low in fruits","Relative Risk",250,100,"g/day","1.688","1.688","1.688","1.688","1.688"
0,0,"Male","25-29","Intracerebral hemorrhage","Diet low in fruits","Relative Risk 2.5",250,100,"g/day","1.319","1.319","1.319","1.319","1.319"
0,0,"Male","25-29","Intracerebral hemorrhage","Diet low in fruits","Relative Risk 97.5",250,100,"g/day","2.182","2.182","2.182","2.182","2.182"
0,0,"Female","25-29","Intracerebral hemorrhage","Diet low in fruits","Relative Risk",250,100,"g/day","1.688","1.688","1.688","1.688","1.688"
0,0,"Female","25-29","Intracerebral hemorrhage","Diet low in fruits","Relative Risk 2.5",250,100,"g/day","1.319","1.319","1.319","1.319","1.319"
0,0,"Female","25-29","Intracerebral hemorrhage","Diet low in fruits","Relative Risk 97.5",250,100,"g/day","2.182","2.182","2.182","2.182","2.182"
0,0,"Male","25-29","Subarachnoid hemorrhage","Diet low in fruits","Relative Risk",250,100,"g/day","1.688","1.688","1.688","1.688","1.688"
0,0,"Male","25-29","Subarachnoid hemorrhage","Diet low in fruits","Relative Risk 2.5",250,100,"g/day","1.319","1.319","1.319","1.319","1.319"
0,0,"Male","25-29","Subarachnoid hemorrhage","Diet low in fruits","Relative Risk 97.5",250,100,"g/day","2.182","2.182","2.182","2.182","2.182"
0,0,"Female","25-29","Subarachnoid hemorrhage","Diet low in fruits","Relative Risk",250,100,"g/day","1.688","1.688","1.688","1.688","1.688"
0,0,"Female","25-29","Subarachnoid hemorrhage","Diet low in fruits","Relative Risk 2.5",250,100,"g/day","1.319","1.319","1.319","1.319","1.319"
0,0,"Female","25-29","Subarachnoid hemorrhage","Diet low in fruits","Relative Risk 97.5",250,100,"g/day","2.182","2.182","2.182","2.182","2.182"
0,0,"Male","25-29","Diabetes mellitus type 2","Diet low in fruits","Relative Risk",250,100,"g/day","1.125","1.125","1.125","1.125","1.125"
0,0,"Male","25-29","Diabetes mellitus type 2","Diet low in fruits","Relative Risk 2.5",250,100,"g/day","1.027","1.027","1.027","1.027","1.027"
0,0,"Male","25-29","Diabetes mellitus type 2","Diet low in fruits","Relative Risk 97.5",250,100,"g/day","1.238","1.238","1.238","1.238","1.238"
0,0,"Female","25-29","Diabetes mellitus type 2","Diet low in fruits","Relative Risk",250,100,"g/day","1.125","1.125","1.125","1.125","1.125"
0,0,"Female","25-29","Diabetes mellitus type 2","Diet low in fruits","Relative Risk 2.5",250,100,"g/day","1.027","1.027","1.027","1.027","1.027"
0,0,"Female","25-29","Diabetes mellitus type 2","Diet low in fruits","Relative Risk 97.5",250,100,"g/day","1.238","1.238","1.238","1.238","1.238"
0,0,"Male","25-29","Ischemic heart disease","Diet low in legumes","Relative Risk",60,50,"g/day","1.499","1.499","1.499","1.499","1.499"
0,0,"Male","25-29","Ischemic heart disease","Diet low in legumes","Relative Risk 2.5",60,50,"g/day","1.18","1.18","1.18","1.18","1.18"
0,0,"Male","25-29","Ischemic heart disease","Diet low in legumes","Relative Risk 97.5",60,50,"g/day","1.89","1.89","1.89","1.89","1.89"
0,0,"Female","25-29","Ischemic heart disease","Diet low in legumes","Relative Risk",60,50,"g/day","1.499","1.499","1.499","1.499","1.499"
0,0,"Female","25-29","Ischemic heart disease","Diet low in legumes","Relative Risk 2.5",60,50,"g/day","1.18","1.18","1.18","1.18","1.18"
0,0,"Female","25-29","Ischemic heart disease","Diet low in legumes","Relative Risk 97.5",60,50,"g/day","1.89","1.89","1.89","1.89","1.89"
0,0,"Male","25-29","Colon and rectum cancer","Diet low in milk","Relative Risk",435,226.8,"g/day","1.113","1.113","1.113","1.113","1.113"
0,0,"Male","25-29","Colon and rectum cancer","Diet low in milk","Relative Risk 2.5",435,226.8,"g/day","1.039","1.039","1.039","1.039","1.039"
0,0,"Male","25-29","Colon and rectum cancer","Diet low in milk","Relative Risk 97.5",435,226.8,"g/day","1.202","1.202","1.202","1.202","1.202"
0,0,"Female","25-29","Colon and rectum cancer","Diet low in milk","Relative Risk",435,226.8,"g/day","1.113","1.113","1.113","1.113","1.113"
0,0,"Female","25-29","Colon and rectum cancer","Diet low in milk","Relative Risk 2.5",435,226.8,"g/day","1.039","1.039","1.039","1.039","1.039"
0,0,"Female","25-29","Colon and rectum cancer","Diet low in milk","Relative Risk 97.5",435,226.8,"g/day","1.202","1.202","1.202","1.202","1.202"
0,0,"Male","25-29","Ischemic heart disease","Diet low in nuts and seeds","Relative Risk",21,4.05,"g/day","1.209","1.209","1.209","1.209","1.209"
0,0,"Male","25-29","Ischemic heart disease","Diet low in nuts and seeds","Relative Risk 2.5",21,4.05,"g/day","1.128","1.128","1.128","1.128","1.128"
0,0,"Male","25-29","Ischemic heart disease","Diet low in nuts and seeds","Relative Risk 97.5",21,4.05,"g/day","1.296","1.296","1.296","1.296","1.296"
0,0,"Female","25-29","Ischemic heart disease","Diet low in nuts and seeds","Relative Risk",21,4.05,"g/day","1.209","1.209","1.209","1.209","1.209"
0,0,"Female","25-29","Ischemic heart disease","Diet low in nuts and seeds","Relative Risk 2.5",21,4.05,"g/day","1.128","1.128","1.128","1.128","1.128"
0,0,"Female","25-29","Ischemic heart disease","Diet low in nuts and seeds","Relative Risk 97.5",21,4.05,"g/day","1.296","1.296","1.296","1.296","1.296"
0,0,"Male","25-29","Diabetes mellitus type 2","Diet low in nuts and seeds","Relative Risk",21,4.05,"g/day","1.05","1.05","1.05","1.05","1.05"
0,0,"Male","25-29","Diabetes mellitus type 2","Diet low in nuts and seeds","Relative Risk 2.5",21,4.05,"g/day","1.025","1.025","1.025","1.025","1.025"
0,0,"Male","25-29","Diabetes mellitus type 2","Diet low in nuts and seeds","Relative Risk 97.5",21,4.05,"g/day","1.075","1.075","1.075","1.075","1.075"
0,0,"Female","25-29","Diabetes mellitus type 2","Diet low in nuts and seeds","Relative Risk",21,4.05,"g/day","1.05","1.05","1.05","1.05","1.05"
0,0,"Female","25-29","Diabetes mellitus type 2","Diet low in nuts and seeds","Relative Risk 2.5",21,4.05,"g/day","1.025","1.025","1.025","1.025","1.025"
0,0,"Female","25-29","Diabetes mellitus type 2","Diet low in nuts and seeds","Relative Risk 97.5",21,4.05,"g/day","1.075","1.075","1.075","1.075","1.075"
0,0,"Male","25-29","Esophageal cancer","Diet low in vegetables","Relative Risk",360,100,"g/day","0","0","0","0","0"
0,0,"Male","25-29","Esophageal cancer","Diet low in vegetables","Relative Risk 2.5",360,100,"g/day","0","0","0","0","0"
0,0,"Male","25-29","Esophageal cancer","Diet low in vegetables","Relative Risk 97.5",360,100,"g/day","0","0","0","0","0"
0,0,"Female","25-29","Esophageal cancer","Diet low in vegetables","Relative Risk",360,100,"g/day","0","0","0","0","0"
0,0,"Female","25-29","Esophageal cancer","Diet low in vegetables","Relative Risk 2.5",360,100,"g/day","0","0","0","0","0"
0,0,"Female","25-29","Esophageal cancer","Diet low in vegetables","Relative Risk 97.5",360,100,"g/day","0","0","0","0","0"
0,0,"Male","25-29","Ischemic heart disease","Diet low in vegetables","Relative Risk",360,100,"g/day","1.249","1.249","1.249","1.249","1.249"
0,0,"Male","25-29","Ischemic heart disease","Diet low in vegetables","Relative Risk 2.5",360,100,"g/day","1.089","1.089","1.089","1.089","1.089"
0,0,"Male","25-29","Ischemic heart disease","Diet low in vegetables","Relative Risk 97.5",360,100,"g/day","1.446","1.446","1.446","1.446","1.446"
0,0,"Female","25-29","Ischemic heart disease","Diet low in vegetables","Relative Risk",360,100,"g/day","1.249","1.249","1.249","1.249","1.249"
0,0,"Female","25-29","Ischemic heart disease","Diet low in vegetables","Relative Risk 2.5",360,100,"g/day","1.089","1.089","1.089","1.089","1.089"
0,0,"Female","25-29","Ischemic heart disease","Diet low in vegetables","Relative Risk 97.5",360,100,"g/day","1.446","1.446","1.446","1.446","1.446"
0,0,"Male","25-29","Ischemic stroke","Diet low in vegetables","Relative Risk",360,100,"g/day","1.249","1.249","1.249","1.249","1.249"
0,0,"Male","25-29","Ischemic stroke","Diet low in vegetables","Relative Risk 2.5",360,100,"g/day","1.049","1.049","1.049","1.049","1.049"
0,0,"Male","25-29","Ischemic stroke","Diet low in vegetables","Relative Risk 97.5",360,100,"g/day","1.463","1.463","1.463","1.463","1.463"
0,0,"Female","25-29","Ischemic stroke","Diet low in vegetables","Relative Risk",360,100,"g/day","1.249","1.249","1.249","1.249","1.249"
0,0,"Female","25-29","Ischemic stroke","Diet low in vegetables","Relative Risk 2.5",360,100,"g/day","1.049","1.049","1.049","1.049","1.049"
0,0,"Female","25-29","Ischemic stroke","Diet low in vegetables","Relative Risk 97.5",360,100,"g/day","1.463","1.463","1.463","1.463","1.463"
0,0,"Male","25-29","Intracerebral hemorrhage","Diet low in vegetables","Relative Risk",360,100,"g/day","1.177","1.177","1.177","1.177","1.177"
0,0,"Male","25-29","Intracerebral hemorrhage","Diet low in vegetables","Relative Risk 2.5",360,100,"g/day","1.046","1.046","1.046","1.046","1.046"
0,0,"Male","25-29","Intracerebral hemorrhage","Diet low in vegetables","Relative Risk 97.5",360,100,"g/day","1.326","1.326","1.326","1.326","1.326"
0,0,"Female","25-29","Intracerebral hemorrhage","Diet low in vegetables","Relative Risk",360,100,"g/day","1.177","1.177","1.177","1.177","1.177"
0,0,"Female","25-29","Intracerebral hemorrhage","Diet low in vegetables","Relative Risk 2.5",360,100,"g/day","1.046","1.046","1.046","1.046","1.046"
0,0,"Female","25-29","Intracerebral hemorrhage","Diet low in vegetables","Relative Risk 97.5",360,100,"g/day","1.326","1.326","1.326","1.326","1.326"
0,0,"Male","25-29","Subarachnoid hemorrhage","Diet low in vegetables","Relative Risk",360,100,"g/day","1.177","1.177","1.177","1.177","1.177"
0,0,"Male","25-29","Subarachnoid hemorrhage","Diet low in vegetables","Relative Risk 2.5",360,100,"g/day","1.046","1.046","1.046","1.046","1.046"
0,0,"Male","25-29","Subarachnoid hemorrhage","Diet low in vegetables","Relative Risk 97.5",360,100,"g/day","1.326","1.326","1.326","1.326","1.326"
0,0,"Female","25-29","Subarachnoid hemorrhage","Diet low in vegetables","Relative Risk",360,100,"g/day","1.177","1.177","1.177","1.177","1.177"
0,0,"Female","25-29","Subarachnoid hemorrhage","Diet low in vegetables","Relative Risk 2.5",360,100,"g/day","1.046","1.046","1.046","1.046","1.046"
0,0,"Female","25-29","Subarachnoid hemorrhage","Diet low in vegetables","Relative Risk 97.5",360,100,"g/day","1.326","1.326","1.326","1.326","1.326"
0,0,"Male","25-29","Ischemic heart disease","Diet low in whole grains","Relative Risk",125,50,"g/day","1.478","1.478","1.478","1.478","1.478"
0,0,"Male","25-29","Ischemic heart disease","Diet low in whole grains","Relative Risk 2.5",125,50,"g/day","1.274","1.274","1.274","1.274","1.274"
0,0,"Male","25-29","Ischemic heart disease","Diet low in whole grains","Relative Risk 97.5",125,50,"g/day","1.722","1.722","1.722","1.722","1.722"
0,0,"Female","25-29","Ischemic heart disease","Diet low in whole grains","Relative Risk",125,50,"g/day","1.478","1.478","1.478","1.478","1.478"
0,0,"Female","25-29","Ischemic heart disease","Diet low in whole grains","Relative Risk 2.5",125,50,"g/day","1.274","1.274","1.274","1.274","1.274"
0,0,"Female","25-29","Ischemic heart disease","Diet low in whole grains","Relative Risk 97.5",125,50,"g/day","1.722","1.722","1.722","1.722","1.722"
0,0,"Male","25-29","Ischemic stroke","Diet low in whole grains","Relative Risk",125,50,"g/day","2.075","2.075","2.075","2.075","2.075"
0,0,"Male","25-29","Ischemic stroke","Diet low in whole grains","Relative Risk 2.5",125,50,"g/day","1.669","1.669","1.669","1.669","1.669"
0,0,"Male","25-29","Ischemic stroke","Diet low in whole grains","Relative Risk 97.5",125,50,"g/day","2.517","2.517","2.517","2.517","2.517"
0,0,"Female","25-29","Ischemic stroke","Diet low in whole grains","Relative Risk",125,50,"g/day","2.075","2.075","2.075","2.075","2.075"
0,0,"Female","25-29","Ischemic stroke","Diet low in whole grains","Relative Risk 2.5",125,50,"g/day","1.669","1.669","1.669","1.669","1.669"
0,0,"Female","25-29","Ischemic stroke","Diet low in whole grains","Relative Risk 97.5",125,50,"g/day","2.517","2.517","2.517","2.517","2.517"
0,0,"Male","25-29","Intracerebral hemorrhage","Diet low in whole grains","Relative Risk",125,50,"g/day","1.596","1.596","1.596","1.596","1.596"
0,0,"Male","25-29","Intracerebral hemorrhage","Diet low in whole grains","Relative Risk 2.5",125,50,"g/day","1.406","1.406","1.406","1.406","1.406"
0,0,"Male","25-29","Intracerebral hemorrhage","Diet low in whole grains","Relative Risk 97.5",125,50,"g/day","1.825","1.825","1.825","1.825","1.825"
0,0,"Female","25-29","Intracerebral hemorrhage","Diet low in whole grains","Relative Risk",125,50,"g/day","1.596","1.596","1.596","1.596","1.596"
0,0,"Female","25-29","Intracerebral hemorrhage","Diet low in whole grains","Relative Risk 2.5",125,50,"g/day","1.406","1.406","1.406","1.406","1.406"
0,0,"Female","25-29","Intracerebral hemorrhage","Diet low in whole grains","Relative Risk 97.5",125,50,"g/day","1.825","1.825","1.825","1.825","1.825"
0,0,"Male","25-29","Subarachnoid hemorrhage","Diet low in whole grains","Relative Risk",125,50,"g/day","1.596","1.596","1.596","1.596","1.596"
0,0,"Male","25-29","Subarachnoid hemorrhage","Diet low in whole grains","Relative Risk 2.5",125,50,"g/day","1.406","1.406","1.406","1.406","1.406"
0,0,"Male","25-29","Subarachnoid hemorrhage","Diet low in whole grains","Relative Risk 97.5",125,50,"g/day","1.825","1.825","1.825","1.825","1.825"
0,0,"Female","25-29","Subarachnoid hemorrhage","Diet low in whole grains","Relative Risk",125,50,"g/day","1.596","1.596","1.596","1.596","1.596"
0,0,"Female","25-29","Subarachnoid hemorrhage","Diet low in whole grains","Relative Risk 2.5",125,50,"g/day","1.406","1.406","1.406","1.406","1.406"
0,0,"Female","25-29","Subarachnoid hemorrhage","Diet low in whole grains","Relative Risk 97.5",125,50,"g/day","1.825","1.825","1.825","1.825","1.825"
